id_alerta,id_transaccion,fecha_alerta,tipo_fraude,nivel_riesgo,estado_alerta,provincia
FRD004157,TRX0008365,2024-07-08 12:18:04,Phishing,Alto,Falso Positivo,Guanacaste
FRD006949,TRX0020276,2026-03-06 05:01:58,Suplantación de Comercio,Bajo,Falso Positivo,Cartago
FRD002355,TRX0035023,2026-04-14 11:00:36,Uso Indebido en el Extranjero,Medio,Descartado,Heredia
FRD005561,TRX0018124,2026-04-30 18:26:03,Transacción No Reconocida,Bajo,Descartado,Alajuela
FRD002188,TRX0023288,2025-01-29 06:05:10,Uso Indebido en el Extranjero,Alto,Descartado,Puntarenas
FRD004561,TRX0042182,2025-12-09 19:19:19,Clonación de Tarjeta,Bajo,En Investigación,Puntarenas
FRD006316,TRX0046843,2025-09-26 10:33:05,Robo de Identidad,Bajo,Descartado,Limón
FRD005709,TRX0023432,2024-12-21 17:31:45,Transacción No Reconocida,Alto,Descartado,Cartgago
FRD007140,TRX0021392,2025-11-19 09:21:07,Transacción No Reconocida,Alto,Descartado,Heredia
FRD002486,TRX0013924,2026-05-29 11:30:53,Uso Indebido en el Extranjero,Bajo,En Investigación,Puntarenas
FRD004893,TRX0027026,2025-01-07 09:06:04,Uso Indebido en el Extranjero,Medio,Descartado,Cartago
FRD003457,TRX0029014,2025-05-31 07:39:55,Robo de Identidad,Alto,En Investigación,Heredia
FRD006975,TRX0017294,2025-10-12 07:56:57,Suplantación de Comercio,Medio,Confirmado, Guanacaste
FRD005760,TRX0003528,2025-10-08 21:00:17,Transacción No Reconocida,Alto,Falso Positivo,guanacaste
FRD000887,TRX0010776,2025-01-20 13:55:41,Suplantación de Comercio,Bajo,Falso Positivo,Heredia
FRD001405,TRX0040091,2025-03-04 21:46:00,Phishing,Alto,Confirmado,Heredia
FRD007769,TRX0022338,2024-12-07 07:59:05,Uso Indebido en el Extranjero,Alto,Confirmado,Limón
FRD005949,TRX0031130,2026-02-11 13:28:02,Robo de Identidad,Alto,Descartado,Limón
FRD006759,TRX0012548,2024-09-05 14:59:59,Phishing,Alto,Confirmado,San José
FRD003241,TRX0002921,2026-03-18 16:05:40,Uso Indebido en el Extranjero,Alto,Falso Positivo,Alajuela
FRD005820,TRX0025397,2025-02-18 15:21:38,Uso Indebido en el Extranjero,Medio,Descartado,Guanacaste
FRD001410,TRX0010790,2025-02-13 19:28:27,Clonación de Tarjeta,Alto,Descartado,Puntarenas
FRD007084,TRX0001846,2026-03-18 05:38:34,Clonación de Tarjeta,Medio,Confirmado,Alajuela
FRD000476,TRX0030019,2024-07-26 14:21:53,Phishing,Alto,Falso Positivo,Limón
FRD004019,TRX0047112,2024-07-25 02:40:57,Transacción No Reconocida,Bajo,Descartado,San José
FRD006487,TRX0046543,2024-06-27 11:13:52,Transacción No Reconocida,Medio,En Investigación,Limón
FRD007389,TRX0033525,2025-04-07 16:17:55,Robo de Identidad,,En Investigación,Cartgago
FRD006860,TRX0039915,2025-04-30 15:28:43,Uso Indebido en el Extranjero,Alto,En Investigación,Puntarenas
FRD003962,TRX0006120,2026-06-14 15:33:21,Transacción No Reconocida,Medio,En Investigación,Guanacaste
FRD005174,TRX0027156,2026-05-28 10:09:57,Uso Indebido en el Extranjero,Alto,Confirmado,Heredia
FRD005102,TRX0012811,2025-11-17 09:36:56,Uso Indebido en el Extranjero,Medio,Falso Positivo,Cartago
FRD003510,TRX0043749,2026-05-13 14:11:47,Suplantación de Comercio,Alto,Confirmado,Heredia
FRD007366,TRX0038018,2026-05-17 14:23:37,Transacción No Reconocida,Medio,Confirmado, San José
FRD004417,TRX0043744,2026-06-06 14:12:05,Uso Indebido en el Extranjero,Medio,En Investigación,Cartago
FRD001445,TRX0023667,2024-12-22 07:31:43,Clonación de Tarjeta,Bajo,En Investigación,San José
FRD004881,TRX0037035,2025-06-11 07:13:59,Robo de Identidad,Medio,Descartado,Cartago
FRD003902,TRX0007975,2024-09-13 13:57:19,Clonación de Tarjeta,Alto,Descartado,Guanacaste
FRD005649,TRX0016369,2025-05-06 00:39:27,Phishing,Medio,Falso Positivo,Cartgago
FRD006883,TRX0019318,2024-10-02 21:47:39,Robo de Identidad,Medio,En Investigación,Limón
FRD007634,TRX0007904,2026-06-10 14:46:16,Uso Indebido en el Extranjero,Medio,Falso Positivo,Limón
FRD002646,TRX0018325,2025-02-12 21:01:03,Robo de Identidad,Bajo,Descartado,San José
FRD001565,TRX0004789,2024-11-10 04:55:14,Suplantación de Comercio,Alto,Falso Positivo,Puntarenas
FRD000597,TRX0034566,2026-06-23 09:47:26,Phishing,Medio,Confirmado,Guanacaste
FRD006842,TRX0022799,2025-02-20 22:26:46,Suplantación de Comercio,Medio,Falso Positivo,Hereda
FRD005202,TRX0003454,2025-06-13 18:54:44,Transacción No Reconocida,Alto,Descartado, Limón
FRD000682,TRX0016486,2025-05-04 21:34:43,Uso Indebido en el Extranjero,Bajo,Falso Positivo,Limón
FRD000777,TRX0020963,2025-10-05 10:53:22,Transacción No Reconocida,Medio,Falso Positivo,Guanacaste
FRD000032,TRX0022892,2025-10-09 00:14:27,Clonación de Tarjeta,Medio,Falso Positivo,San José
FRD004022,TRX0009793,2025-07-22 02:08:21,Uso Indebido en el Extranjero,Medio,En Investigación,Limón
FRD001255,TRX0010909,2024-12-17 18:18:18,Uso Indebido en el Extranjero,Medio,En Investigación,San José
FRD001264,TRX0001399,2026-01-24 03:52:35,Uso Indebido en el Extranjero,Bajo,Falso Positivo,Alajuela
FRD001210,TRX0015632,2024-11-03 16:06:56,Suplantación de Comercio,Bajo,En Investigación,Puntarenas
FRD004171,TRX0034421,2026-05-09 07:12:30,Uso Indebido en el Extranjero,Medio,Confirmado,San José
FRD004887,TRX0036660,2026-06-07 21:10:21,Clonación de Tarjeta,Medio,Descartado,San José
FRD000194,TRX0043790,2026-03-28 04:56:22,Phishing,Alto,Falso Positivo,Hereda
FRD001980,TRX0016686,2026-05-14 21:43:25,Transacción No Reconocida,Bajo,Falso Positivo,San José
FRD000449,TRX0006942,2024-11-14 15:29:46,Transacción No Reconocida,Medio,Confirmado,Limón
FRD001087,TRX0046504,2025-11-01 00:49:30,Uso Indebido en el Extranjero,Medio,Descartado,Guanacaste
FRD000280,TRX0010872,2026-05-13 01:37:18,Transacción No Reconocida,Alto,En Investigación,Alajuela
FRD004360,TRX0007228,2026-02-25 10:56:06,Phishing,Bajo,Descartado,San José
FRD004645,TRX0013183,2025-01-09 03:07:23,Phishing,Alto,Descartado,Limón
FRD005788,TRX0037341,2026-02-04 04:08:49,Robo de Identidad,Bajo,Falso Positivo,Guanacaste
FRD002273,TRX0040234,2025-02-06 02:58:56,Uso Indebido en el Extranjero,Alto,Falso Positivo,Cartgago
FRD006034,TRX0006182,2024-06-28 15:00:57,Transacción No Reconocida,Bajo,Confirmado,Limón
FRD001408,TRX0032280,2025-09-21 10:49:03,Uso Indebido en el Extranjero,Bajo,Descartado,Alajuela
FRD002198,TRX0003694,2025-07-18 19:33:39,Phishing,Medio,Falso Positivo,Guanacaste
FRD001631,TRX0028353,2026-05-06 08:08:45,Transacción No Reconocida,Medio,Descartado,Cartgago
FRD000681,TRX0020057,2026-02-12 08:14:29,Suplantación de Comercio,,Falso Positivo,Cartgago
FRD003456,TRX0013319,2025-11-25 14:44:12,Transacción No Reconocida,Alto,Descartado,Limón
FRD002972,TRX0049773,2026-03-04 07:03:00,Phishing,Medio,Descartado,LIMON
FRD001678,TRX0016307,2024-10-09 05:28:18,Transacción No Reconocida,Alto,Confirmado,San José
FRD004497,TRX0049753,2024-12-27 12:53:36,Transacción No Reconocida,Bajo,Confirmado,Puntarenas
FRD007024,TRX0009908,2025-10-28 19:37:36,Phishing,Medio,Falso Positivo,Limón
FRD000817,TRX0015082,2025-06-14 10:31:19,Phishing,Alto,En Investigación,San José
FRD003017,TRX0036491,2024-09-12 17:03:42,Transacción No Reconocida,Bajo,Descartado,Guanacaste
FRD001470,TRX0005261,2024-08-21 04:54:20,Suplantación de Comercio,Bajo,Falso Positivo,Puntarenas
FRD005284,TRX0007291,2024-10-18 17:08:48,Clonación de Tarjeta,Alto,Descartado,Heredia
FRD007889,TRX0032676,2026-05-11 14:51:39,Transacción No Reconocida,Alto,Descartado,Guanacaste
FRD006349,TRX0027065,2025-02-28 05:14:50,Suplantación de Comercio,Alto,Descartado,Alajuela
FRD007747,TRX0041196,2024-06-30 00:05:04,Transacción No Reconocida,Alto,En Investigación,San José
FRD007984,TRX0038836,2024-10-11 03:48:55,Phishing,Bajo,Falso Positivo,Cartago
FRD005120,TRX0021590,2024-11-22 13:17:42,Phishing,Bajo,En Investigación,Puntarenas
FRD006749,TRX0046418,2026-05-16 01:01:48,Robo de Identidad,Bajo,Confirmado,Guanacaste
FRD004910,TRX0002750,2025-10-09 18:18:46,Robo de Identidad,Alto,En Investigación,Limón
FRD007569,TRX0000650,2025-12-17 07:46:30,Transacción No Reconocida,Alto,Descartado,guanacaste
FRD006743,TRX0009916,2025-05-15 06:07:31,Phishing,,Falso Positivo,Alajuela
FRD000004,TRX0013683,2025-05-10 07:50:22,Uso Indebido en el Extranjero,Alto,En Investigación,Alajuela
FRD002335,TRX0015449,2026-05-29 11:59:50,Robo de Identidad,Medio,Descartado,San José
FRD001707,TRX0038918,2024-12-12 11:46:58,Robo de Identidad,Medio,Descartado,Limón
FRD004332,TRX0003298,2025-09-24 22:32:07,Suplantación de Comercio,Bajo,Descartado,Limón
FRD004683,TRX0021344,2024-07-09 06:26:01,Clonación de Tarjeta,Alto,Confirmado, Limón
FRD001653,TRX0038381,2025-10-17 14:54:28,Suplantación de Comercio,Alto,Confirmado,Guanacaste
FRD007894,TRX0039080,2025-12-06 04:25:58,Phishing,Alto,En Investigación,Limón
FRD005129,TRX0040086,2025-04-03 02:55:41,Uso Indebido en el Extranjero,Alto,Descartado,Hereda
FRD000780,TRX0022562,2024-12-24 16:22:37,Uso Indebido en el Extranjero,Medio,Confirmado,Guanacaste
FRD006165,TRX0009693,2026-01-02 23:59:09,Phishing,Medio,Descartado,Cartago
FRD001540,TRX0035088,2025-10-02 18:06:07,Robo de Identidad,Medio,Confirmado,Cartago
FRD006132,TRX0023717,2025-10-24 20:57:47,Suplantación de Comercio,Bajo,Confirmado,San José
FRD004367,TRX0011522,2026-02-19 19:07:21,Phishing,Medio,Confirmado,Puntarenas
FRD003079,TRX0033342,2026-01-16 13:54:27,Suplantación de Comercio,Alto,Descartado,Cartgago
FRD002172,TRX0012444,2025-02-12 13:29:10,Clonación de Tarjeta,Alto,Confirmado,Limón
FRD002991,TRX0009997,2025-02-16 02:19:29,Clonación de Tarjeta,Medio,Falso Positivo,alajuela
FRD006991,TRX0028567,2025-01-22 09:18:46,Clonación de Tarjeta,Medio,Confirmado,San José
FRD000867,TRX0046473,2026-04-03 18:00:45,Phishing,Medio,Descartado,alajuela
FRD001737,TRX0020602,2024-08-22 22:51:12,Suplantación de Comercio,Alto,Falso Positivo,Cartgago
FRD007219,TRX0010522,2025-10-26 21:31:39,Robo de Identidad,Alto,Falso Positivo,Alajuela
FRD000826,TRX0034052,2025-12-04 11:34:40,Transacción No Reconocida,Bajo,Falso Positivo,Cartgago
FRD000272,TRX0046439,2026-04-03 01:54:03,Transacción No Reconocida,Medio,Descartado,Alajuela
FRD000737,TRX0028482,2025-11-09 17:08:20,Robo de Identidad,Medio,Falso Positivo,Heredia
FRD007665,TRX0010371,2025-07-20 22:46:28,Robo de Identidad,Bajo,Falso Positivo,Cartago
FRD005213,TRX0037813,2024-07-07 05:33:29,Suplantación de Comercio,Medio,Confirmado,Limón
FRD005280,TRX0039250,2025-10-05 02:41:57,Suplantación de Comercio,Bajo,Confirmado,Limón
FRD006403,TRX0036950,2025-05-28 07:15:42,Suplantación de Comercio,Medio,Confirmado,Guanacaste
FRD005985,TRX0002843,2026-06-07 17:46:57,Suplantación de Comercio,Medio,En Investigación,Heredia
FRD002296,TRX0026735,2024-12-04 01:23:21,Uso Indebido en el Extranjero,Alto,Confirmado,Puntarenas
FRD001569,TRX0044843,2024-09-07 09:10:48,Phishing,Alto,Descartado,puntarenas
FRD000526,TRX0046106,2026-02-18 10:48:27,Transacción No Reconocida,Alto,Descartado,Alajuela
FRD005439,TRX0021360,2026-03-01 18:08:17,Uso Indebido en el Extranjero,Bajo,Confirmado,Cartago
FRD006505,TRX0015866,2026-04-21 10:18:15,Uso Indebido en el Extranjero,Bajo,Descartado,San José
FRD005701,TRX0047802,2026-03-23 19:59:28,Clonación de Tarjeta,Alto,Descartado,San José
FRD002229,TRX0044036,2025-04-11 04:40:26,Suplantación de Comercio,Medio,Falso Positivo,San José
FRD002536,TRX0044519,2024-07-24 01:10:33,Suplantación de Comercio,Medio,Descartado,San José
FRD007874,TRX0008370,2026-04-24 06:58:53,Transacción No Reconocida,Medio,Falso Positivo,cartago
FRD001362,TRX0042469,2024-12-28 16:28:15,Clonación de Tarjeta,Alto,Descartado,Alajuela
FRD002480,TRX0003479,2024-11-08 14:29:05,Suplantación de Comercio,Alto,Confirmado,Puntarenas
FRD001877,TRX0028929,2026-04-05 17:33:19,Phishing,Alto,En Investigación,San José
FRD005540,TRX0037064,2025-10-30 03:17:01,Phishing,Bajo,Falso Positivo,PUNTARENAS
FRD005968,TRX0001530,2025-02-10 14:12:09,Clonación de Tarjeta,Medio,Confirmado,Guanacaste
FRD005878,TRX0041998,2025-12-16 06:20:25,Phishing,Bajo,Descartado,limón
