id_tarjeta,id_cliente,tipo_tarjeta,emisor,categoria_tarjeta,limite_credito,estado_tarjeta,fecha_emision
TAR002556,CLI000984,Crédito,Visa,Platino,2133070.10,Activa,2019-06-23
TAR006701,CLI003880,Crédito,American Express,Oro,545897.56,Activa,2019-01-30
TAR003456,CLI001801,Crédito,American Express,Clásica,275089.91,Inactiva,2017-02-03
TAR001817,CLI001385,Crédito,American Express,Black,7569764.27,Activa,2023-04-24
TAR006315,CLI007565,Crédito,Visa,Platino,1505450.91,Activa,2022-04-21
TAR000498,CLI004117,Débito,Mastercard,Clásica,311586.33,Activa,2018-04-19
TAR009488,CLI000509,Crédito,Visa,Clásica,391883.50,Inactiva,2026-01-20
TAR009881,CLI001519,Crédito,Visa,Platino,3422643.77,Activa,2016-08-30
TAR004847,CLI006196,Crédito,American Express,Platino,2935449.27,Activa,2017-10-06
TAR004302,CLI003581,Crédito,American Express,Oro,1242004.95,Activa,2020-04-11
TAR000267,CLI004931,Crédito,Mastercad,Clásica,165479.18,Activa,2021-05-02
TAR008476,CLI007082,Crédito,Visa,Platino,3080770.43,Inactiva,2019-02-22
TAR009407,CLI005575,Crédito,Mastercard,Platino,3548886.80,Activa,2024-06-29
TAR008779,CLI006126,Crédito,American Express,Oro,1242356.31,Activa,2017-01-25
TAR009469,CLI000673,Crédito,Mastercard,Clásica,336388.63,Inactiva,2023-10-16
TAR001311,CLI007507,Crédito,Visa,Clásica,442776.46,Activa,2021-06-10
TAR005820,CLI001220,Débito,Mastercard,Clásica,364086.39,Activa,2024-02-07
TAR005930,CLI003634,Crédito,American Express,Oro,644841.06,Activa,2018-12-24
TAR009399,CLI006988,Crédito,American Express,Black,4700996.66,Activa,2021-09-27
TAR000598,CLI007257,Débito,Mastercard,Clásica,105126.32,Activa,2023-01-15
TAR008949,CLI003259,Débito,Mastercard,Oro,1036632.17,Activa,2016-11-13
TAR006584,CLI005125,Débito,Mastercard,Oro,508173.97,Activa,2018-04-29
TAR006513,CLI002436,Débito,Visa,Clásica,102627.04,Activa,2023-04-14
TAR002685,CLI002425,Crédito,American Express,Clásica,380207.86,Activa,2024-10-07
TAR000688,CLI002127,Crédito,Visa,Oro,938189.88,Activa,2020-04-18
TAR001735,CLI005059,Débito,Visa,Oro,520817.65,Activa,2025-12-23
TAR002190,CLI000296,Débito,American Express,Clásica,341026.85,Inactiva,2017-09-02
TAR001281,CLI001885,Crédito,American Express,Black,7389886.43,Activa,2022-03-03
TAR003936,CLI001498,Débito,Visa,Platino,2753101.81,Activa,2020-03-14
TAR009425,CLI005003,Crédito,American Express,Clásica,110730.92,Activa,2017-09-17
TAR002959,CLI002075,Crédito,American Express,Black,6710526.88,Inactiva,2021-08-29
TAR001699,CLI007548,Crédito,Mastercard,Oro,1159610.03,Inactiva,2017-06-12
TAR002921,CLI000125,Crédito,Mastercard,Oro,1482932.52,Activa,2021-05-13
TAR004886,CLI007156,Crédito,Mastercard,Oro,1495154.56,Inactiva,2018-02-28
TAR008279,CLI007521,Crédito,Mastercard,Platino,1998887.85,Inactiva,2020-08-30
TAR000623,CLI001272,Débito,Visa,Oro,1359399.81,Activa,2022-06-16
TAR000275,CLI006301,Crédito,Mastercard,Oro,547307.45,Inactiva,2022-10-09
TAR000204,CLI005663,Crédito,American Express,Clásica,408718.17,Activa,2024-01-03
TAR002828,CLI001753,Débito,Mastercard,Clásica,452753.66,Activa,2019-08-08
TAR004072,CLI001868,Débito,Visa,Platino,2722288.24,Activa,2018-11-26
TAR008586,CLI005262,Crédito,American Express,Clásica,135950.49,Activa,2022-01-25
TAR009122,CLI000105,Débito,Visa,Platino,3756710.96,Inactiva,2021-12-30
TAR007238,CLI005725,Débito,Visa,Platino,3040542.24,Activa,2022-10-09
TAR002622,CLI001249,Crédito,American Express,Oro,968251.21,Inactiva,2018-06-14
TAR007748,CLI005999,Crédito,Visa,Clásica,185853.90,Activa,2025-06-28
TAR009988,CLI001953,Débito,Mastercard,Oro,614760.30,Activa,2023-06-05
TAR009803,CLI005835,Débito,Mastercard,Clásica,245009.96,Activa,2018-01-29
TAR004251,CLI005599,Crédito,Mastercard,Oro,902073.19,Activa,2016-11-10
TAR007645,CLI002128,Crédito,Visa,Oro,977048.25,Activa,2021-02-01
TAR002169,CLI004310,Crédito,Visa,Oro,1470269.36,Activa,2017-10-28
TAR005849,CLI001787,Crédito,Mastercad,Oro,1411327.25,Activa,2024-02-27
TAR004620,CLI003732,Débito,Visa,Clásica,282864.25,Activa,2024-08-26
TAR004377,CLI004878,Débito,American Express,Oro,666218.85,Activa,2022-06-28
TAR004799,CLI004657,Crédito,Mastercard,Oro,1418768.53,Inactiva,2024-10-19
TAR005533,CLI002100,Crédito,Visa,Oro,687925.48,Inactiva,2016-10-27
TAR001066,CLI005385,Crédito,Visa,Clásica,410779.11,Activa,2018-11-13
TAR006115,CLI006512,Crédito,American Express,Clásica,283471.74,Activa,2017-01-06
TAR005469,CLI003929,Crédito,Mastercard,Clásica,301743.41,Activa,2019-04-22
TAR009164,CLI005762,Crédito,Mastercard,Clásica,298713.69,Activa,2019-10-12
TAR008548,CLI000088,Débito,Visa,Oro,1414266.93,Activa,2019-08-20
TAR006496,CLI003339,Crédito,Mastercad,Clásica,287719.40,Activa,2023-10-12
TAR006694,CLI004729,Débito,Visa,Platino,3618641.77,Activa,2023-05-24
TAR000303,CLI006238,Crédito,Visa,Oro,1266060.39,Activa,2022-07-13
TAR009533,CLI001381,Débito,Mastercard,Clásica,319511.33,Activa,2017-06-27
TAR000656,CLI003340,Crédito,American Express,Clásica,488932.48,Activa,2023-06-30
TAR009094,CLI001367,Crédito,Visa,Clásica,218573.23,Activa,2020-02-02
TAR008223,CLI004933,Crédito,Mastercard,Oro,534876.89,Activa,2022-06-18
TAR003300,CLI003751,Crédito,Mastercard,Clásica,241024.86,Activa,2016-10-24
TAR002550,CLI001818,Crédito,Visa,Clásica,202671.42,Activa,2024-04-24
TAR001302,CLI007453,Crédito,Mastercard,Black,8063243.76,Activa,2021-04-10
TAR001679,CLI005809,Crédito,Visa,Oro,860245.51,Activa,2021-12-08
TAR002493,CLI003815,Crédito,Visa,Platino,1939533.26,Activa,2023-01-11
TAR004039,CLI003048,Débito,Mastercard,Platino,3242159.90,Activa,2019-12-03
TAR003927,CLI003834,Crédito,Mastercard,Black,5066708.91,Activa,2017-03-21
TAR003348,CLI004216,Débito,Mastercad,Clásica,146116.10,Activa,2016-08-21
TAR009601,CLI005995,Crédito,American Express,Clásica,196082.48,Activa,2023-02-24
TAR003026,CLI006714,Crédito,Visa,Clásica,480190.94,Activa,2019-12-31
TAR005725,CLI006023,Crédito,Mastercard,Oro,1295772.06,Activa,2020-09-16
TAR001221,CLI003915,Crédito,Mastercard,Oro,633374.43,Activa,2026-03-17
TAR000550,CLI004832,Débito,Visa,Oro,1049446.45,Activa,2025-01-10
TAR009272,CLI002503,Crédito,American Express,Clásica,281647.34,Activa,2020-09-11
TAR003837,CLI003936,Crédito,Visa,Clásica,245112.54,Activa,2022-08-17
TAR000506,CLI005973,Crédito,American Express,Black,5987454.91,Activa,2018-07-02
TAR002401,CLI006892,Débito,Visa,Platino,2265100.51,Activa,2018-12-07
TAR003823,CLI004887,Crédito,American Express,Oro,1256152.28,Activa,2025-05-09
TAR000953,CLI002531,Crédito,American Express,Clásica,338680.20,Inactiva,2020-06-19
TAR003218,CLI006868,Débito,Mastercad,Clásica,317452.86,Activa,2016-11-09
