id_transaccion,id_tarjeta,id_comercio,fecha_transaccion,monto,puntos,canal,provincia
TRX0046739,TAR009628,COM00583,2024-11-03 09:35:05,4318.53,4,WEB,Puntarenas
TRX0027201,TAR003119,COM00964,2025-12-01 02:47:15,2102392.86,2293,APP,Cartago
TRX0038021,TAR001463,COM01325,2024-11-12 03:20:57,488042.00,555,POS,San José
TRX0035614,TAR006828,COM00398,2025-09-01 12:37:16,147099.22,160,POS,Guanacaste
TRX0048797,TAR000943,COM00142,2025-08-17 21:05:22,225716.93,186,WEB,Guanacaste
TRX0015852,TAR008661,COM00645,2026-02-07 13:36:10,193967.61,210,POS,Alajuela
TRX0046586,TAR009778,COM00022,2024-12-06 08:29:07,509050.54,477,POS,Puntarenas
TRX0026091,TAR004844,COM00021,2025-12-05 09:54:09,30682.32,34,POS,San José
TRX0031441,TAR009019,COM00834,2024-09-19 16:51:24,132099.08,115,APP,Cartago
TRX0005293,TAR004097,COM00165,2026-06-16 21:10:08,33863.64,28,POS,Guanacaste
TRX0041725,TAR001111,COM00848,2024-11-04 00:00:50,452896.83,363,APP,Alajuela
TRX0029780,TAR008726,COM00343,2024-09-06 05:06:39,116500.00,133,ATM,Cartago
TRX0007603,TAR008528,COM00931,2025-06-20 20:00:31,93290.58,100,WEB,Hereda
TRX0005129,TAR007592,COM01459,2025-02-23 18:12:55,49435.36,55,POS,Limón
TRX0031891,TAR009184,COM00339,2025-03-01 08:15:12,376791.20,308,POS,Puntarenas
TRX0018447,TAR004143,COM01369,2026-06-20 06:09:24,340739.26,328,APP,SAN JOSE
TRX0010940,TAR000508,COM00953,2025-03-17 15:14:51,85974.00,69,WEB,Hereda
TRX0035869,TAR000700,COM00265,2024-08-17 19:59:12,874582.22,845,WEB,GUANACASTE
TRX0004630,TAR002291,COM01423,2025-04-12 20:45:32,38847.98,44,POS,Puntarenas
TRX0035685,TAR002558,COM00360,2025-05-24 16:41:07,121422.54,101,ATM,Alajuela
TRX0022515,TAR009319,COM00136,2025-05-06 12:27:44,261457.30,225,POS,CARTAGO
TRX0037478,TAR004975,COM00791,2024-10-13 08:28:15,62768.45,55,POS,Guanacaste
TRX0029685,TAR004089,COM00593,2025-09-28 21:46:12,27919.79,24,WEB,Heredia
TRX0036810,TAR003408,COM00174,2025-08-22 15:38:13,371103.21,309,POS,Limón
TRX0043555,TAR003610,COM01352,2024-09-30 01:39:27,763304.42,716,WEB,CARTAGO
TRX0046696,TAR008345,COM01223,2025-02-25 13:54:29,114026.13,105,WEB,Heredia
TRX0011990,TAR001971,COM00023,2026-05-28 21:28:34,88575.87,81,POS,Guanacaste
TRX0020811,TAR008256,COM00550,2025-07-04 14:58:27,32318.69,33,APP,Puntarenas
TRX0016958,TAR000107,COM00375,2025-10-21 21:58:30,141665.15,126,APP,Alajuela
TRX0022209,TAR006605,COM00240,2025-05-29 00:21:12,7092.48,7,POS,Puntarenas
TRX0001006,TAR003602,COM00934,2026-04-16 04:25:55,6235.89,6,ATM,Guanacaste
TRX0013276,TAR007618,COM00477,2025-05-25 19:35:55,65824.01,64,WEB,LIMON
TRX0002173,TAR002931,COM00264,2025-07-23 18:47:02,165190.89,194,POS,Heredia
TRX0044945,TAR008091,COM00654,2025-01-26 00:33:07,128966.32,148,POS,Hereda
TRX0031824,TAR007208,COM01338,2024-12-22 17:07:04,46391.32,46,POS,Heredia
TRX0029061,TAR009417,COM01194,2026-05-27 20:02:47,272078.46,272,ATM,Limón
TRX0048812,TAR008622,COM00856,2026-01-25 01:28:44,83163.72,83,WEB,Guanacaste
TRX0030966,TAR004860,COM00142,2026-02-15 06:21:28,74153.80,76,APP,Guanacaste
TRX0009684,TAR002648,COM00168,2025-12-04 15:57:45,147311.79,159,APP,Puntarenas
TRX0027605,TAR003770,COM01317,2026-04-24 21:17:19,78023.87,72,POS,Alajuela
TRX0001508,TAR008062,COM01420,2026-04-12 09:08:59,237242.89,266,POS,Cartago
TRX0046905,TAR007896,COM01400,2026-05-12 18:14:21,796032.84,733,POS,Guanacaste
TRX0018739,TAR005337,COM00208,2025-02-21 13:21:04,20455.00,23,POS,Puntarenas
TRX0032658,TAR007694,COM00620,2026-05-14 12:53:07,107759.89,125,POS,Cartago
TRX0018327,TAR004827,COM01095,2025-04-23 09:41:15,331113.52,290,WEB,San José
TRX0032404,TAR001291,COM00256,2025-05-27 14:46:02,249730.00,240,POS,Puntarenas
TRX0002396,TAR004685,COM00414,2026-04-01 10:56:55,13909.39,16,POS,Limón
TRX0041060,TAR004871,COM01217,2025-12-31 20:21:41,137062.41,159,WEB,Heredia
TRX0023349,TAR004915,COM01487,2025-09-10 11:28:43,16338.68,19,POS,Guanacaste
TRX0048826,TAR003986,COM00358,2025-12-03 23:25:58,374646.25,376,POS,Limón
TRX0010031,TAR001235,COM01446,2025-03-08 23:15:34,132432.15,136,APP,Alajuela
TRX0000181,TAR005725,COM00256,2025-10-02 06:42:09,290660.93,310,POS,Puntarenas
TRX0013063,TAR003796,COM00062,2025-05-17 20:49:30,46873.57,52,POS,Puntarenas
TRX0008706,TAR002504,COM01018,2025-05-29 10:00:42,42042.04,39,POS,Heredia
TRX0011005,TAR001784,COM01388,2026-01-06 13:32:36,4940.14,6,POS,Cartago
TRX0026926,TAR000138,COM01134,2025-06-30 20:17:57,448962.83,390,WEB,Heredia
TRX0043549,TAR002165,COM01424,2026-06-09 10:05:37,39272.80,36,APP,Limón
