transaction_id,card_id,merchant_id,fecha_transaccion,monto,puntos,provincia
TRX0000001,T000272,M0077,2024-01-01,1925.05,64,Alajuela
TRX0000002,T000047,M0006,2024-01-01,,48,Limón
TRX0000003,T000094,M0064,2024-01-01,1496.19,78,Guanacaste
TRX0000004,T000235,M0004,2024-01-01,,49,Heredia
TRX0000005,T000256,M0042,2024-01-01,871.47,75,Limón
TRX0000006,T000015,M0055,2024-01-01,1383.37,93,Cartago
TRX0000007,T000318,M0039,2024-01-01,1064.72,92,Puntarenas
TRX0000008,T000238,M0053,2024-01-01,137.39,41,Alajuela
TRX0000009,T000327,M0078,2024-01-01,-100.0,57,Heredia
TRX0000010,T000271,M0019,2024-01-01,-50.0,13,Guanacaste
TRX0000011,T000276,M0038,2024-01-01,546.4,95,Guanacaste
TRX0000012,T000164,M0053,2024-01-01,1389.95,61,Guanacaste
TRX0000013,T000177,M0003,2024-01-01,,39,Cartago
TRX0000014,T000200,M0013,2024-01-01,1208.03,57,San José
TRX0000015,T000183,M0088,2024-01-01,-100.0,99,Limón
TRX0000016,T000284,M0057,2024-01-01,,49,San José
TRX0000017,T000278,M0066,2024-01-01,-100.0,17,San José
TRX0000018,T000394,M0019,2024-01-01,-50.0,77,Cartago
TRX0000019,T000239,M0062,2024-01-01,900.12,63,Cartago
TRX0000020,T000241,M0070,2024-01-01,1847.01,13,San José
TRX0000021,T000151,M0072,2024-01-01,1731.75,69,Heredia
TRX0000022,T000122,M0028,2024-01-01,662.54,82,Cartago
TRX0000023,T000131,M0070,2024-01-01,-50.0,59,Limón
TRX0000024,T000007,M0090,2024-01-01,1406.32,48,Puntarenas
TRX0000025,T000229,M0011,2024-01-01,-50.0,52,Guanacaste
TRX0000026,T000337,M0049,2024-01-01,-100.0,30,Guanacaste
TRX0000027,T000167,M0008,2024-01-01,-50.0,73,Puntarenas
TRX0000028,T000292,M0043,2024-01-01,-100.0,80,Limón
TRX0000029,T000133,M0029,2024-01-01,1505.48,84,Alajuela
TRX0000030,T000081,M0021,2024-01-01,1110.77,17,Limón
TRX0000031,T000156,M0009,2024-01-01,1443.53,17,San José
TRX0000032,T000206,M0036,2024-01-01,-50.0,17,Alajuela
